id,x,y,z
182,186.8354,190.7098,1
181,214.3512,183.2080,1
180,210.7314,183.2154,1
179,207.1314,183.2081,1
178,204.7904,183.2196,1
177,201.0718,183.2134,1
176,197.5361,183.2114,1
175,193.9285,183.2112,1
174,189.8255,183.1277,1
173,186.2758,183.2749,1
172,177.0592,183.1808,1
171,177.0125,190.6773,1
170,173.0568,189.8801,1
169,169.9026,189.8714,1
168,171.4260,193.4675,1
59,171.4347,197.2223,1
56,163.6006,195.2871,1
64,158.0472,190.6769,1
60,163.5282,189.2845,1
62,164.3818,182.8455,1
61,161.7624,183.7693,1
63,158.0010,183.1798,1
151,163.5807,177.3916,1
150,163.5759,171.9520,1
149,163.5284,167.2591,1
148,163.3547,163.0157,1
152,171.4406,178.6175,1
153,171.4406,175.0676,1
154,171.4327,171.4666,1
155,171.4301,167.2229,1
157,172.1897,163.6175,1
156,169.4372,161.5071,1
158,172.7026,160.6590,1
159,169.9701,157.3039,1
160,172.4665,155.1326,1
161,169.9701,152.9689,1
162,171.4364,149.7887,1
163,171.4399,146.2607,1
165,169.7208,143.2690,1
164,172.8342,143.2635,1
166,171.4399,140.7907,1
167,171.4406,138.3607,1
147,163.3540,156.8525,1
146,163.3540,153.4675,1
145,163.5696,149.8471,1
144,163.5744,144.9942,1
143,163.5790,140.7907,1
142,163.5842,138.3597,1
141,158.0006,134.3983,1
140,177.0602,134.3936,1
134,158.0510,126.8814,1
135,162.1850,126.5275,1
136,165.7282,126.5038,1
137,169.3351,126.4965,1
138,172.8735,126.5256,1
B_1_281_,186.8003,135.6173,1
B_1_282_,186.8175,132.9911,1
B_1_283_,191.5859,134.3960,1
139,177.0080,126.8798,1
B_1_284_,195.6987,134.3920,1
B_1_285_,199.3014,134.4024,1
B_1_286_,202.2902,134.3915,1
B_1_287,204.8106,134.3911,1
B_1_288_,208.3442,134.3999,1
B_1_289_,213.1636,134.3999,1
55,163.5990,201.9430,1
54,163.6054,206.8890,1
58,171.4354,201.9422,1
57,171.7056,206.7289,1
274,339.1297,183.2068,1
275,356.5597,191.0904,1
262,114.3907,126.5682,2
263,106.3195,124.6726,2
264,106.3183,128.1635,2
265,106.4288,131.7693,2
266,106.4561,135.3373,2
267,106.8139,139.4854,2
261,114.3353,139.5349,2
254,106.8139,149.2937,2
253,114.3246,149.2395,2
255,106.4719,152.8382,2
252,114.3196,154.0249,2
256,106.4297,155.1904,2
257,106.4281,157.5866,2
258,106.4287,160.5943,2
259,106.4557,164.1358,2
250,114.3195,163.5608,2
249,114.3248,168.3413,2
260,106.8201,168.2878,2
241,106.8212,178.2266,2
248,114.3225,178.0405,2
242,106.4297,184.1156,2
243,106.2916,189.3623,2
244,107.0369,192.8878,2
247,111.5417,189.3955,2
246,115.1692,189.3894,2
245,114.0550,192.8911,2
251,114.3173,158.7854,2
